Stock_Code,Stock_Name,Weight,Shares,ETF,Holding_Source
IFX GR,INFINEON TECHNOLOGIES AG,1.86,332843,00990A,official
AXTI US,AXT INC,1.71,267320,00990A,official
6857 JP,ADVANTEST CORP,1.59,88100,00990A,official
PANW US,PALO ALTO NETWORKS INC,1.59,52800,00990A,official
U US,UNITY SOFTWARE INC,1.54,426600,00990A,official
TER US,TERADYNE INC,1.52,46320,00990A,official
INTC US,INTEL CORP,1.46,182500,00990A,official
6223,旺矽,1.41,90000,00990A,official
AEHR US,AEHR TEST SYSTEMS,1.3,124354,00990A,official
SMTC US,SEMTECH CORP,1.3,118700,00990A,official
NBIS US,NEBIUS GROUP NV,1.08,49800,00990A,official
NVDA US,NVIDIA CORP,1.05,59700,00990A,official
6274,台燿,1.04,255000,00990A,official
CIEN US,CIENA CORP,1.01,30197,00990A,official
FSLY US,FASTLY INC - CLASS A,1.0,429000,00990A,official
RBRK US,RUBRIK INC-A,0.98,122500,00990A,official
000660 KP,SK HYNIX INC,0.97,10663,00990A,official
2345,智邦,0.97,172000,00990A,official
LRCX US,LAM RESEARCH CORP,0.97,37200,00990A,official
3711,日月光投控,0.96,641000,00990A,official
NOW US,SERVICENOW INC,0.95,98200,00990A,official
4062 JP,IBIDEN CO LTD,0.92,89700,00990A,official
PLTR US,PALANTIR TECHNOLOGIES INC-A,0.76,55726,00990A,official
2449,京元電子,0.61,1008000,00990A,official
TEAM US,ATLASSIAN CORP-CL A,0.5,39800,00990A,official
8046,南電,0.49,155000,00990A,official
WOLF US,WOLFSPEED INC,0.49,198600,00990A,official
2059,川湖,8.06,260000,00992A,official
2330,台積電,7.61,1406000,00992A,official
3017,奇鋐,7.12,1002000,00992A,official
2383,台光電,6.66,465000,00992A,official
3037,欣興,6.31,2497000,00992A,official
3665,貿聯-KY,5.59,1161000,00992A,official
2345,智邦,5.58,1080000,00992A,official
3008,大立光,4.8,420000,00992A,official
8996,高力,4.47,1630000,00992A,official
2454,聯發科,3.71,406000,00992A,official
6223,旺矽,3.44,263000,00992A,official
3231,緯創,3.23,7662000,00992A,official
6584,南俊國際,3.0,2231000,00992A,official
2308,台達電,2.69,632000,00992A,official
2455,全新,2.59,2753000,00992A,official
8021,尖點,2.59,2682000,00992A,official
1303,南亞,2.46,5445000,00992A,official
1815,富喬,2.37,10877000,00992A,official
3711,日月光投控,2.26,1629000,00992A,official
3443,創意,2.11,160000,00992A,official
3661,世芯-KY,1.97,215000,00992A,official
3189,景碩,1.71,840013,00992A,official
6669,緯穎,1.15,77000,00992A,official
4958,臻鼎-KY,1.13,1000000,00992A,official
8046,南電,0.88,300000,00992A,official
6515,穎崴,0.63,42000,00992A,official
6805,富世達,0.47,109000,00992A,official
6139,亞翔,0.45,250000,00992A,official
2337,旺宏,0.39,1343000,00992A,official
7734,印能科技,0.39,56000,00992A,official
5289,宜鼎,0.34,98000,00992A,official
3260,威剛,0.32,358000,00992A,official
3583,辛耘,0.24,147000,00992A,official
5347,世界,0.23,629000,00992A,official
7751,竑騰,0.08,25000,00992A,official
3264,欣銓,0.04,72000,00992A,official
2330,台積電,8.16,1794000,00982A,official
2454,聯發科,6.7,872000,00982A,official
6669,緯穎,6.4,510000,00982A,official
5536,聖暉*,6.33,3679000,00982A,official
6139,亞翔,6.16,4025000,00982A,official
2059,川湖,4.82,185000,00982A,official
2383,台光電,3.94,327000,00982A,official
2360,致茂,3.75,837000,00982A,official
3105,穩懋,3.63,4809000,00982A,official
2345,智邦,3.55,817000,00982A,official
6223,旺矽,3.38,307000,00982A,official
4958,臻鼎-KY,3.03,3178000,00982A,official
3491,昇達科,2.52,1000000,00982A,official
3017,奇鋐,2.43,407000,00982A,official
3008,大立光,2.38,248000,00982A,official
6531,愛普*,2.38,1440000,00982A,official
6488,環球晶,2.19,1134000,00982A,official
2303,聯電,2.1,9109000,00982A,official
3264,欣銓,1.98,4780000,00982A,official
6257,矽格,1.9,4821000,00982A,official
2467,志聖,1.68,1505000,00982A,official
2377,微星,1.61,5678000,00982A,official
3583,辛耘,1.6,1158000,00982A,official
6274,台燿,1.37,450000,00982A,official
8016,矽創,1.3,2270000,00982A,official
3702,大聯大,1.19,5678000,00982A,official
7769,鴻勁,1.19,93000,00982A,official
3711,日月光投控,1.18,1016000,00982A,official
2316,楠梓電,1.1,3471000,00982A,official
5274,信驊,0.96,29900,00982A,official
3036,文曄,0.93,2404000,00982A,official
8996,高力,0.88,382000,00982A,official
1785,光洋科,0.87,4384000,00982A,official
6278,台表科,0.82,2460000,00982A,official
2327,國巨*,0.8,696000,00982A,official
2351,順德,0.75,2316000,00982A,official
2472,立隆電,0.7,1522000,00982A,official
3529,力旺,0.42,93000,00982A,official
6831,邁科,0.39,300000,00982A,official
6239,力成,0.37,710000,00982A,official
2376,技嘉,0.3,443000,00982A,official
2451,創見,0.29,521000,00982A,official
2885,元大金,0.28,2128420,00982A,official
6446,藥華藥,0.11,42000,00982A,official
3231,緯創,0.03,91000,00982A,official
6177,達麗,0.02,194350,00982A,official
3443,創意,0.01,1000,00982A,official
2368,金像電,0.0,2000,00982A,official
8046,南電,0.0,1000,00982A,official
